name,up greedy,up insertion,up oct_schedule,oct greedy,oct insertion,oct oct_schedule,cp,size,seq
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_12_copies.graphml,2886,388,503,3071,371,478,132,272,1782
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_8x8.graphml,11924,1445,1389,12476,1922,2376,154,1202,8434
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_3_copies.graphml,1207,236,224,607,157,202,102,51,329
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_cal.graphml,66,14,14,66,14,14,12,4,14
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple.graphml,792,152,162,793,146,141,24,72,470
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x8.graphml,6799,908,1003,6881,1036,1294,279,690,4685
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_12_copies.graphml,3229,417,495,3230,513,516,39,324,2250
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_12_copies.graphml,1370,239,244,1396,210,243,26,144,984
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_12_copies.graphml,1203,259,275,1126,220,280,127,96,574
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_dingo_expanded.graphml,919,178,151,721,145,142,55,59,389
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1.graphml,798,211,190,801,168,209,19,78,552
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,7618,843,1289,7581,1093,1754,194,699,4947
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_2x4.graphml,2734,540,628,2699,600,476,253,220,1491
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_4_copies.graphml,1165,273,211,932,221,220,103,56,350
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_simple.graphml,263,96,69,253,74,94,21,22,138
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_3-6-9_copies.graphml,31355,2802,4998,32369,4767,6795,785,2899,20139
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep.graphml,7264,930,921,7003,827,901,617,281,1952
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_3_copies.graphml,3745,681,619,3590,616,551,323,133,898
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_2_copies.graphml,2539,553,487,2212,413,423,230,96,574
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img.graphml,6770,804,1161,7145,1075,1509,295,655,4346
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2.graphml,5365,701,936,6196,902,1059,408,499,3333
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,10906,1098,1718,11044,1650,2214,362,983,6761
/home/hummus/Dropbox/thesis/data/input/graphml/translated_cont_img.graphml,4341,791,719,4329,706,658,347,148,1032
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_8-8_copies.graphml,4583,487,704,4701,567,879,43,428,2852
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,35004,3144,5643,35266,6006,8216,553,3271,22668
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_std.graphml,1992,482,428,2063,453,443,197,192,1317
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_2-2-2_copies.graphml,2034,414,475,2020,391,460,397,191,1232
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_mk_grpby.graphml,1407,267,299,1379,289,292,188,124,811
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam.graphml,1393,261,292,1375,263,259,59,130,832
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_12-12_copies.graphml,9707,916,1545,9690,1352,1934,61,906,6313
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,2583,401,530,2580,410,508,272,247,1686
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_dingo.graphml,919,178,151,721,145,142,55,59,389
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_8_copies.graphml,2175,317,363,2171,358,366,38,216,1441
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_5_copies.graphml,5556,830,783,5135,690,756,504,207,1433
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x4.graphml,3757,620,631,3900,539,587,228,348,2313
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_8-8-4_copies.graphml,48892,4153,7626,52195,7438,10134,228,4583,31637
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_6-8-4_copies.graphml,37383,3312,5908,40254,5812,8171,678,3467,23978
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,11890,1173,1934,12079,1731,2409,289,1095,7536
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB.graphml,1065,207,216,1073,189,222,27,108,695
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadVis.graphml,25,17,14,25,17,14,7,3,23
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_3_copies.graphml,395,98,71,417,96,71,18,36,208
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,17528,1615,2694,17704,2701,3916,196,1615,11155
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two.graphml,788,212,208,786,189,219,28,76,496
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_8_copies.graphml,1275,239,258,1157,215,253,124,76,496
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_10-8_copies.graphml,1277,234,241,1273,230,254,97,78,552
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,562,155,147,562,155,147,81,26,157
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_grpby_gather.graphml,1354,199,241,1375,201,236,25,154,1011
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,7732,788,1248,7925,1186,1529,355,711,4858
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal.graphml,2724,641,665,2587,494,536,273,98,647
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_8_copies.graphml,983,179,204,977,174,193,37,96,574
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_8-4_copies.graphml,2587,315,439,2571,329,451,34,244,1565
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_4-8_copies.graphml,6824,628,990,6854,888,1361,34,634,4378
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_6_copies.graphml,1561,260,282,1552,258,272,56,140,940
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh.graphml,703,176,188,637,178,201,68,45,293
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_seq_gather.graphml,1928,371,337,1812,350,308,112,74,422
