name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,16261,2268,2996,2965,16476,2913,16351,3297,2225,457,983,6830
translated_CALIB_12_copies.graphml,4833,751,947,963,4779,861,4801,978,727,56,324,2199
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,2279,449,551,488,2331,445,2323,507,416,191,135,928
translated_askap_dingo.graphml,1762,219,212,216,1422,206,1762,208,212,52,59,388
translated_atca_minh_10-8_copies.graphml,1487,270,290,297,1470,285,1482,337,266,101,78,505
translated_lofar_test_4x4.graphml,5015,849,1103,1092,5153,933,5050,1158,873,338,348,2400
translated_mwa_gleam_simple_12_copies.graphml,2032,359,439,425,2055,395,2039,435,366,26,144,965
translated_chiles_two_8_copies.graphml,2654,492,582,576,2741,483,2665,558,490,118,184,1238
translated_lofar_std.graphml,2721,557,654,678,2687,446,2729,570,535,212,192,1255
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,3793,591,789,782,3850,575,3803,731,618,320,247,1676
translated_mwa_gleam_simple_3_copies.graphml,568,110,129,129,581,108,585,118,108,21,36,192
translated_askap_dingo_expanded.graphml,1762,219,212,216,1422,206,1762,208,227,52,59,388
translated_lofar_test_8x8.graphml,17638,2655,3613,3552,18263,3331,17668,3995,2608,217,1202,8286
translated_dist_sagecal_sleep_1_copies.graphml,1847,375,368,368,1794,357,1847,381,375,237,59,388
translated_test_mk_grpby.graphml,1936,389,420,411,1976,385,1935,428,380,325,124,831
translated_lofar_cal.graphml,82,30,25,25,82,30,82,25,30,14,4,25
translated_atca_minh.graphml,753,170,206,201,745,171,752,197,170,77,45,280
translated_atca_attila_12_copies.graphml,1527,326,336,354,1529,353,1555,369,342,213,96,647
translated_test_seq_gather.graphml,2103,413,386,386,2028,385,2103,379,406,131,74,494
translated_atca_attila_4_copies.graphml,1157,272,269,269,1123,254,1165,273,289,172,56,376
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,17774,2533,3230,3312,17793,3265,17851,3806,2542,510,1095,7823
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,26152,3462,4689,4729,26276,4577,26195,5815,3515,292,1615,10976
translated_chiles_two_dev1.graphml,1157,212,241,245,1165,201,1151,271,210,27,78,505
translated_cont_img.graphml,4476,727,699,699,2890,513,4476,584,727,407,148,1010
translated_CALIB_8_copies.graphml,3265,543,632,635,3295,548,3280,650,539,56,216,1507
translated_dist_sagecal_sleep_9_copies.graphml,10108,1217,1345,1264,9475,1252,10071,1344,1205,929,355,2363
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,587,198,174,174,455,152,587,141,198,120,26,194
translated_atca_minh_4-5_copies.graphml,828,192,199,199,843,182,803,204,192,66,42,256
translated_chiles_two_dev1_8-8_copies.graphml,7015,945,1240,1255,6919,1098,6915,1323,910,114,428,2940
translated_CALIB.graphml,1629,309,344,334,1617,311,1625,355,301,56,108,780
translated_lofar_test_4x8.graphml,10296,1650,2115,2133,10288,1909,10224,2484,1650,371,690,4683
translated_dist_sagecal_sleep_5_copies.graphml,5726,895,932,972,5613,882,5727,968,914,661,207,1438
translated_chiles_two_12_copies.graphml,4364,596,845,811,4429,660,4334,820,615,203,272,1853
translated_chiles_two_dev2.graphml,8184,1150,1457,1494,8874,1406,8149,1772,1152,544,499,3415
translated_mwa_gleam_simple.graphml,1171,208,224,228,1195,217,1157,220,203,26,72,456
translated_facet_img_2-2-2_copies.graphml,2937,590,718,712,2945,602,2906,736,599,583,191,1334
translated_dist_sagecal_sleep.graphml,7616,1049,1108,1120,7558,1103,7586,1136,1102,782,281,1992
translated_chiles_two_dev1_8-4_copies.graphml,3812,522,680,697,3819,568,3766,682,528,36,244,1600
translated_mwa_gleam_simple_8_copies.graphml,1442,274,311,305,1437,277,1454,264,277,45,96,647
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,33661,4609,6128,6193,33740,6093,33299,7919,4613,743,2068,14387
translated_atca_attila_8_copies.graphml,1294,271,288,288,1243,276,1298,307,278,178,76,485
translated_atca_attila.graphml,1131,277,313,304,1069,221,1235,301,277,158,66,444
translated_dist_sagecal_sleep_3_copies.graphml,3888,717,697,722,3883,617,3904,695,734,438,133,931
translated_dist_sagecal_sleep_2_copies.graphml,2648,534,572,567,2500,524,2648,586,534,334,96,647
translated_facet_img.graphml,10174,1472,1955,1969,11120,1976,10140,2412,1524,437,655,4587
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,11128,1490,2002,2065,11286,1844,11162,2446,1505,531,699,4652
translated_atca_attila_3_copies.graphml,1306,264,271,271,1306,282,1306,266,264,227,51,374
translated_chiles_two_dev1_4-8_copies.graphml,10196,1445,1848,1873,10219,1745,10232,2067,1450,66,634,4427
