name,up greedy,seq,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size
translated_lofar_test_4x4.graphml,2829,2290,515,551,544,2779,427,2792,466,495,150,348,
translated_mwa_gleam_simple_12_copies.graphml,839,910,160,160,163,829,147,841,177,148,13,144,
translated_chiles_two_8_copies.graphml,1140,1215,217,236,267,1131,200,1154,258,225,55,184,
translated_lofar_std.graphml,1463,1280,343,359,378,1461,286,1453,336,343,101,192,
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,1975,1614,318,374,350,1592,287,1929,334,327,137,247,
translated_mwa_gleam_simple_3_copies.graphml,356,243,77,74,74,380,77,373,74,77,12,36,
translated_askap_dingo_expanded.graphml,476,393,129,148,144,409,139,472,146,129,20,59,
translated_lofar_test_8x8.graphml,7319,8193,704,1275,1260,7423,970,7351,1544,733,92,1202,
translated_dist_sagecal_sleep_1_copies.graphml,1800,393,394,329,329,1583,337,1800,299,394,94,59,
translated_test_mk_grpby.graphml,992,810,210,268,232,941,155,969,182,190,123,124,
translated_lofar_cal.graphml,74,19,22,19,19,74,22,74,19,22,3,4,
translated_atca_minh.graphml,632,303,189,169,169,385,160,632,174,188,38,45,
translated_atca_attila_12_copies.graphml,1289,569,249,246,255,772,142,1269,193,243,77,96,
translated_test_seq_gather.graphml,1678,491,371,338,354,1702,305,1709,295,371,50,74,
translated_atca_attila_4_copies.graphml,1211,330,259,175,172,768,217,1211,179,271,65,56,
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,7138,7385,522,1041,1064,7564,887,7134,1707,523,154,1095,
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,10516,10989,647,1502,1458,11973,1196,10489,2433,627,142,1615,
translated_chiles_two_dev1.graphml,472,523,127,137,139,499,138,499,111,131,11,78,
translated_cont_img.graphml,3526,916,733,571,645,3125,432,3526,399,691,179,148,
translated_CALIB_8_copies.graphml,1304,1434,212,286,278,1297,201,1294,268,229,19,216,
translated_dist_sagecal_sleep_9_copies.graphml,9472,2450,880,930,882,9004,825,9459,810,890,370,355,
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,552,155,132,116,116,394,89,552,89,132,33,26,
translated_atca_minh_4-5_copies.graphml,737,258,169,169,168,737,150,737,191,156,22,42,
translated_chiles_two_dev1_8-8_copies.graphml,2816,2805,264,438,428,2894,326,2803,530,276,23,428,
translated_CALIB.graphml,660,690,178,181,190,662,165,670,157,153,18,108,
translated_lofar_test_4x8.graphml,4297,4662,635,780,799,4521,667,4289,908,633,113,690,
translated_dist_sagecal_sleep_5_copies.graphml,5377,1398,775,729,734,5003,665,5377,641,775,279,207,
translated_chiles_two_12_copies.graphml,1756,1822,278,342,329,2024,256,1779,305,267,81,272,
translated_chiles_two_dev2.graphml,3410,3401,511,639,642,4308,561,3450,799,533,211,499,
translated_mwa_gleam_simple.graphml,495,444,106,126,126,500,94,484,112,106,15,72,
translated_facet_img_2-2-2_copies.graphml,1655,1266,355,384,349,1321,299,1588,352,356,220,191,
translated_dist_sagecal_sleep.graphml,7014,1967,720,781,765,6283,572,7017,682,754,340,281,
translated_chiles_two_dev1_8-4_copies.graphml,1589,1632,198,274,279,1597,196,1572,273,218,13,244,
translated_mwa_gleam_simple_8_copies.graphml,585,569,119,136,136,586,111,591,145,117,17,96,
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,13383,14159,750,1865,1852,13640,1705,13401,3205,762,340,2068,
translated_atca_attila_8_copies.graphml,1337,530,272,257,243,726,212,1252,225,275,79,76,
translated_atca_attila.graphml,1172,425,235,254,254,924,226,1258,258,239,95,66,
translated_dist_sagecal_sleep_3_copies.graphml,3539,888,635,596,583,3667,583,3539,523,639,159,133,
translated_dist_sagecal_sleep_2_copies.graphml,2334,569,491,450,482,1928,331,2334,323,487,158,96,
translated_facet_img.graphml,4193,4441,621,725,738,5512,716,4186,946,602,216,655,
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,4563,4828,416,726,720,4661,560,4646,1033,419,68,699,
translated_atca_attila_3_copies.graphml,1233,326,249,210,210,461,108,1233,115,249,55,51,
translated_chiles_two_dev1_4-8_copies.graphml,4077,4261,310,586,539,4158,512,4088,767,321,24,634,
