N1,N2,...,Nx
[40, 44, 39, 36, 1, 17, 3, 18, 31, 19, 4, 33, 0, 42, 41, 6, 2, 2, 1, 10, 44, 44, 19, 25, 45, 20, 3, 12, 18, 34, 25]
[49, 0, 30, 12, 37, 48, 49, 23, 38, 22, 13, 21, 42, 0, 2, 27, 11, 26, 9, 7, 18, 8, 32, 23, 31, 46, 19, 36, 32, 45, 3]
[6, 18, 6, 24, 35, 42, 15, 27, 1, 18, 43, 43, 41, 2, 0, 45, 2, 4, 10, 23, 38, 16, 18, 14, 33, 20, 43, 7, 5, 25, 24]
[14, 49, 19, 30, 14, 17, 46, 2, 39, 11, 20, 20, 6, 27, 45, 0, 3, 29, 49, 26, 23, 28, 46, 22, 50, 12, 49, 19, 15, 18, 31]
[30, 44, 21, 42, 48, 11, 9, 19, 20, 30, 49, 48, 2, 11, 2, 3, 0, 28, 5, 45, 44, 47, 28, 6, 23, 46, 49, 10, 9, 48, 38]
[46, 45, 22, 21, 7, 38, 16, 24, 14, 17, 48, 16, 2, 26, 4, 29, 28, 0, 30, 33, 26, 8, 27, 24, 14, 23, 12, 34, 39, 13, 28]
[47, 42, 34, 48, 32, 46, 21, 38, 3, 9, 38, 3, 1, 9, 10, 49, 5, 30, 0, 22, 21, 10, 36, 31, 22, 39, 23, 8, 2, 3, 49]
[5, 8, 31, 24, 15, 49, 14, 0, 0, 10, 6, 14, 10, 7, 23, 26, 45, 33, 22, 0, 45, 3, 29, 6, 3, 27, 20, 3, 48, 37, 13]
[4, 13, 34, 14, 49, 24, 47, 5, 5, 40, 12, 2, 44, 18, 38, 23, 44, 26, 21, 45, 0, 35, 10, 35, 30, 10, 50, 34, 25, 40, 17]
[33, 4, 27, 19, 15, 33, 28, 22, 30, 3, 13, 3, 44, 8, 16, 28, 47, 8, 10, 3, 35, 0, 14, 19, 0, 5, 48, 24, 22, 19, 36]
[31, 40, 50, 24, 45, 12, 39, 4, 3, 32, 24, 13, 19, 32, 18, 46, 28, 27, 36, 29, 10, 14, 0, 12, 10, 19, 28, 43, 6, 36, 21]
[14, 2, 0, 31, 1, 40, 28, 31, 24, 27, 12, 17, 25, 23, 14, 22, 6, 24, 31, 6, 35, 19, 12, 0, 17, 48, 46, 45, 29, 50, 35]
[20, 4, 30, 38, 2, 31, 36, 9, 49, 43, 45, 31, 45, 31, 33, 50, 23, 14, 22, 3, 30, 0, 10, 17, 0, 24, 33, 10, 49, 47, 35]
[38, 33, 34, 33, 20, 14, 6, 37, 47, 40, 33, 45, 20, 46, 20, 12, 46, 23, 39, 27, 10, 5, 19, 48, 24, 0, 31, 0, 37, 26, 14]
[44, 22, 50, 38, 48, 24, 12, 18, 3, 30, 19, 3, 3, 19, 43, 49, 49, 12, 23, 20, 50, 48, 28, 46, 33, 31, 0, 2, 25, 18, 15]
[32, 14, 44, 19, 0, 37, 33, 44, 11, 32, 5, 18, 12, 36, 7, 19, 10, 34, 8, 3, 34, 24, 43, 45, 10, 0, 2, 0, 14, 38, 32]
[26, 10, 0, 49, 46, 41, 11, 13, 6, 14, 4, 12, 18, 32, 5, 15, 9, 39, 2, 48, 25, 22, 6, 29, 49, 37, 25, 14, 0, 16, 18]
[28, 1, 12, 2, 18, 44, 28, 36, 23, 49, 14, 32, 34, 45, 25, 18, 48, 13, 3, 37, 40, 19, 36, 50, 47, 26, 18, 38, 16, 0, 37]
[28, 47, 32, 12, 10, 28, 24, 31, 4, 47, 28, 21, 25, 3, 24, 31, 38, 28, 49, 13, 17, 36, 21, 35, 35, 14, 15, 32, 18, 37, 0]
