N1,N2,...,Nx
[20, 6, 28, 28, 43, 11, 6, 38, 8, 9, 0, 19, 47, 35, 48, 28, 11, 6, 33, 3, 7, 49, 48, 36, 10, 42, 46, 19, 23, 9, 36, 31, 15, 15, 45, 7, 7, 15, 46]
[48, 19, 7, 38, 38, 40, 40, 45, 32, 32, 19, 0, 25, 33, 49, 42, 44, 28, 16, 28, 42, 39, 33, 30, 4, 11, 36, 18, 15, 43, 38, 19, 18, 31, 13, 36, 7, 14, 5]
[25, 5, 22, 7, 1, 49, 37, 41, 46, 9, 47, 25, 0, 41, 27, 25, 16, 30, 45, 21, 35, 10, 4, 41, 28, 11, 15, 24, 2, 21, 39, 13, 48, 6, 48, 7, 18, 25, 19]
[29, 36, 16, 3, 16, 12, 25, 33, 4, 7, 35, 33, 41, 0, 48, 21, 39, 21, 13, 4, 39, 25, 7, 42, 11, 37, 31, 40, 0, 18, 9, 22, 39, 20, 13, 50, 7, 28, 12]
[34, 5, 49, 41, 15, 31, 45, 23, 36, 35, 48, 49, 27, 48, 0, 27, 26, 19, 17, 10, 43, 39, 5, 37, 40, 22, 15, 33, 0, 47, 20, 42, 9, 34, 6, 22, 33, 45, 29]
[40, 40, 1, 37, 23, 24, 42, 38, 3, 4, 28, 42, 25, 21, 27, 0, 10, 24, 49, 16, 1, 42, 1, 13, 37, 15, 34, 4, 5, 48, 29, 2, 42, 0, 31, 13, 45, 47, 42]
[37, 48, 12, 50, 43, 24, 42, 50, 41, 16, 11, 44, 16, 39, 26, 10, 0, 30, 15, 24, 37, 13, 15, 25, 1, 13, 9, 32, 30, 0, 13, 46, 45, 41, 14, 33, 44, 16, 3]
[18, 32, 21, 38, 20, 28, 21, 43, 6, 45, 6, 28, 30, 21, 19, 24, 30, 0, 25, 10, 7, 46, 23, 15, 8, 1, 43, 50, 38, 46, 42, 42, 26, 47, 44, 28, 29, 44, 36]
[50, 36, 32, 34, 39, 12, 49, 39, 2, 9, 33, 16, 45, 13, 17, 49, 15, 25, 0, 38, 42, 16, 23, 14, 47, 26, 38, 8, 38, 2, 31, 44, 41, 31, 22, 39, 8, 7, 48]
[6, 14, 3, 43, 25, 7, 49, 12, 36, 8, 3, 28, 21, 4, 10, 16, 24, 10, 38, 0, 30, 5, 17, 5, 46, 0, 44, 20, 49, 7, 4, 2, 29, 31, 0, 8, 37, 50, 21]
[12, 21, 49, 10, 44, 48, 25, 43, 50, 36, 7, 42, 35, 39, 43, 1, 37, 7, 42, 30, 0, 12, 47, 37, 33, 20, 41, 23, 40, 1, 44, 11, 47, 12, 14, 20, 45, 21, 3]
[31, 9, 20, 26, 30, 35, 20, 31, 48, 9, 49, 39, 10, 25, 39, 42, 13, 46, 16, 5, 12, 0, 18, 31, 3, 7, 21, 12, 39, 5, 19, 5, 19, 3, 45, 23, 16, 30, 5]
[4, 30, 24, 36, 25, 27, 25, 10, 33, 28, 48, 33, 4, 7, 5, 1, 15, 23, 23, 17, 47, 18, 0, 17, 31, 16, 10, 48, 47, 2, 27, 46, 2, 17, 33, 24, 25, 28, 42]
[14, 19, 3, 25, 9, 3, 32, 1, 9, 16, 36, 30, 41, 42, 37, 13, 25, 15, 14, 5, 37, 31, 17, 0, 35, 23, 38, 30, 4, 31, 23, 27, 36, 9, 33, 42, 42, 45, 22]
[11, 2, 50, 8, 5, 32, 24, 2, 32, 26, 10, 4, 28, 11, 40, 37, 1, 8, 47, 46, 33, 3, 31, 35, 0, 37, 0, 48, 25, 4, 10, 35, 3, 18, 42, 28, 6, 3, 26]
[27, 10, 8, 49, 47, 18, 6, 39, 31, 39, 42, 11, 11, 37, 22, 15, 13, 1, 26, 0, 20, 7, 16, 23, 37, 0, 10, 2, 22, 25, 39, 10, 0, 17, 18, 28, 38, 48, 44]
[26, 16, 48, 48, 3, 36, 47, 32, 18, 32, 46, 36, 15, 31, 15, 34, 9, 43, 38, 44, 41, 21, 10, 38, 0, 10, 0, 2, 27, 44, 3, 12, 43, 20, 15, 4, 40, 30, 39]
[9, 18, 42, 47, 42, 45, 4, 28, 25, 7, 19, 18, 24, 40, 33, 4, 32, 50, 8, 20, 23, 12, 48, 30, 48, 2, 2, 0, 30, 45, 10, 13, 9, 9, 0, 21, 41, 0, 8]
[50, 9, 46, 15, 21, 20, 45, 34, 2, 19, 23, 15, 2, 0, 0, 5, 30, 38, 38, 49, 40, 39, 47, 4, 25, 22, 27, 30, 0, 9, 46, 25, 34, 39, 4, 24, 33, 43, 1]
[12, 3, 46, 10, 36, 23, 8, 12, 33, 14, 9, 43, 21, 18, 47, 48, 0, 46, 2, 7, 1, 5, 2, 31, 4, 25, 44, 45, 9, 0, 43, 2, 9, 44, 21, 22, 28, 43, 36]
[28, 49, 7, 19, 0, 6, 4, 44, 13, 47, 36, 38, 39, 9, 20, 29, 13, 42, 31, 4, 44, 19, 27, 23, 10, 39, 3, 10, 46, 43, 0, 38, 8, 17, 5, 46, 12, 16, 44]
[31, 16, 27, 25, 45, 22, 24, 25, 14, 44, 31, 19, 13, 22, 42, 2, 46, 42, 44, 2, 11, 5, 46, 27, 35, 10, 12, 13, 25, 2, 38, 0, 43, 6, 21, 33, 33, 13, 38]
[48, 2, 23, 35, 1, 28, 20, 31, 8, 8, 15, 18, 48, 39, 9, 42, 45, 26, 41, 29, 47, 19, 2, 36, 3, 0, 43, 9, 34, 9, 8, 43, 0, 25, 10, 35, 41, 9, 44]
[10, 5, 14, 0, 17, 26, 14, 5, 39, 2, 15, 31, 6, 20, 34, 0, 41, 47, 31, 31, 12, 3, 17, 9, 18, 17, 20, 9, 39, 44, 17, 6, 25, 0, 24, 13, 16, 28, 29]
[44, 45, 50, 41, 7, 12, 37, 28, 44, 34, 45, 13, 48, 13, 6, 31, 14, 44, 22, 0, 14, 45, 33, 33, 42, 18, 15, 0, 4, 21, 5, 21, 10, 24, 0, 13, 27, 12, 17]
[44, 36, 27, 32, 39, 40, 2, 11, 18, 6, 7, 36, 7, 50, 22, 13, 33, 28, 39, 8, 20, 23, 24, 42, 28, 28, 4, 21, 24, 22, 46, 33, 35, 13, 13, 0, 19, 32, 40]
[1, 27, 4, 10, 0, 29, 48, 32, 14, 43, 7, 7, 18, 7, 33, 45, 44, 29, 8, 37, 45, 16, 25, 42, 6, 38, 40, 41, 33, 28, 12, 33, 41, 16, 27, 19, 0, 49, 28]
[21, 41, 17, 30, 49, 26, 13, 22, 5, 11, 15, 14, 25, 28, 45, 47, 16, 44, 7, 50, 21, 30, 28, 45, 3, 48, 30, 0, 43, 43, 16, 13, 9, 28, 12, 32, 49, 0, 38]
[27, 33, 41, 28, 0, 48, 46, 46, 41, 36, 46, 5, 19, 12, 29, 42, 3, 36, 48, 21, 3, 5, 42, 22, 26, 44, 39, 8, 1, 36, 44, 38, 44, 29, 17, 40, 28, 38, 0]
