N1,N2,...,Nx
[1, 48, 36, 2, 11, 26, 22, 50, 19, 11, 48, 18, 13, 40, 0, 11, 30, 5, 10, 42, 33, 19, 43, 30, 42, 5, 11, 49, 46, 43, 13, 49, 9, 18, 23, 47]
[2, 29, 40, 20, 44, 12, 35, 37, 46, 43, 48, 14, 44, 9, 11, 0, 23, 18, 14, 6, 49, 41, 13, 20, 6, 37, 15, 24, 30, 47, 26, 28, 47, 25, 48, 9]
[20, 46, 33, 1, 45, 17, 39, 29, 3, 2, 47, 5, 42, 40, 30, 23, 0, 20, 8, 7, 38, 30, 46, 46, 23, 48, 17, 2, 6, 31, 18, 24, 24, 35, 12, 5]
[26, 47, 5, 35, 25, 27, 34, 25, 1, 16, 1, 31, 16, 45, 5, 18, 20, 0, 30, 20, 39, 41, 40, 41, 48, 7, 32, 1, 18, 31, 31, 23, 38, 32, 13, 41]
[36, 47, 29, 41, 39, 29, 33, 21, 37, 49, 34, 24, 47, 26, 10, 14, 8, 30, 0, 22, 45, 49, 28, 11, 50, 31, 26, 35, 36, 41, 46, 8, 19, 24, 31, 20]
[41, 23, 5, 47, 23, 18, 7, 29, 36, 44, 39, 33, 27, 8, 42, 6, 7, 20, 22, 0, 4, 34, 0, 50, 10, 8, 39, 45, 6, 24, 50, 33, 36, 40, 44, 11]
[22, 33, 48, 49, 3, 18, 40, 23, 46, 2, 2, 3, 6, 42, 33, 49, 38, 39, 45, 4, 0, 45, 16, 41, 6, 49, 15, 26, 49, 29, 16, 33, 43, 17, 27, 10]
[30, 49, 29, 23, 30, 17, 13, 30, 31, 11, 1, 8, 31, 12, 19, 41, 30, 41, 49, 34, 45, 0, 30, 46, 13, 23, 37, 32, 18, 10, 41, 31, 0, 46, 1, 27]
[48, 1, 50, 14, 33, 14, 31, 41, 10, 15, 23, 41, 32, 3, 43, 13, 46, 40, 28, 0, 16, 30, 0, 30, 24, 29, 10, 26, 8, 39, 18, 11, 31, 20, 9, 20]
[42, 23, 49, 33, 26, 4, 7, 8, 22, 9, 44, 24, 15, 13, 30, 20, 46, 41, 11, 50, 41, 46, 30, 0, 38, 44, 10, 15, 21, 29, 33, 36, 8, 12, 19, 50]
[8, 10, 23, 16, 8, 47, 16, 4, 34, 34, 15, 24, 18, 45, 42, 6, 23, 48, 50, 10, 6, 13, 24, 38, 0, 32, 46, 24, 33, 17, 3, 38, 31, 15, 32, 25]
[41, 15, 8, 35, 40, 37, 31, 36, 6, 1, 39, 20, 26, 18, 5, 37, 48, 7, 31, 8, 49, 23, 29, 44, 32, 0, 8, 40, 0, 42, 18, 37, 8, 34, 8, 20]
[22, 19, 21, 8, 3, 39, 18, 41, 25, 9, 41, 35, 16, 0, 11, 15, 17, 32, 26, 39, 15, 37, 10, 10, 46, 8, 0, 23, 20, 31, 24, 35, 32, 24, 17, 41]
[48, 28, 8, 10, 29, 33, 16, 37, 35, 21, 50, 18, 25, 17, 49, 24, 2, 1, 35, 45, 26, 32, 26, 15, 24, 40, 23, 0, 36, 16, 47, 26, 3, 37, 0, 19]
[28, 18, 5, 8, 45, 6, 33, 7, 30, 46, 26, 22, 15, 16, 46, 30, 6, 18, 36, 6, 49, 18, 8, 21, 33, 0, 20, 36, 0, 37, 18, 45, 38, 5, 14, 49]
[47, 5, 32, 48, 43, 2, 1, 22, 27, 19, 36, 26, 34, 5, 43, 47, 31, 31, 41, 24, 29, 10, 39, 29, 17, 42, 31, 16, 37, 0, 50, 23, 30, 14, 20, 29]
[22, 9, 11, 5, 25, 10, 22, 25, 26, 21, 48, 34, 31, 5, 13, 26, 18, 31, 46, 50, 16, 41, 18, 33, 3, 18, 24, 47, 18, 50, 0, 1, 13, 9, 22, 17]
[38, 27, 43, 3, 47, 2, 36, 11, 15, 31, 11, 32, 27, 22, 49, 28, 24, 23, 8, 33, 33, 31, 11, 36, 38, 37, 35, 26, 45, 23, 1, 0, 9, 48, 11, 39]
[0, 29, 43, 8, 2, 27, 9, 33, 29, 10, 49, 17, 14, 43, 9, 47, 24, 38, 19, 36, 43, 0, 31, 8, 31, 8, 32, 3, 38, 30, 13, 9, 0, 9, 44, 9]
[48, 12, 38, 14, 49, 47, 12, 40, 32, 23, 17, 37, 10, 40, 18, 25, 35, 32, 24, 40, 17, 46, 20, 12, 15, 34, 24, 37, 5, 14, 9, 48, 9, 0, 28, 2]
[40, 20, 45, 46, 32, 15, 13, 30, 20, 39, 31, 4, 16, 41, 23, 48, 12, 13, 31, 44, 27, 1, 9, 19, 32, 8, 17, 0, 14, 20, 22, 11, 44, 28, 0, 44]
[8, 14, 3, 30, 38, 34, 0, 14, 22, 12, 6, 50, 35, 23, 47, 9, 5, 41, 20, 11, 10, 27, 20, 50, 25, 20, 41, 19, 49, 29, 17, 39, 9, 2, 44, 0]
