N1,N2,...,Nx
[24, 34, 9, 31, 11, 6, 36, 39, 2, 16, 0, 9, 44, 23, 48, 41, 37, 36, 13, 11, 27, 18, 23, 0, 15, 46, 46, 14, 1, 44, 39, 15, 21, 29, 38, 35, 32, 18, 4, 19, 33, 44, 0, 3, 31, 5]
[26, 12, 7, 49, 17, 13, 10, 13, 8, 49, 9, 0, 4, 4, 10, 34, 3, 41, 37, 14, 25, 1, 48, 23, 21, 10, 44, 19, 25, 36, 15, 18, 17, 25, 34, 0, 0, 35, 4, 26, 30, 50, 7, 39, 7, 16]
[0, 33, 42, 15, 31, 22, 33, 3, 21, 7, 44, 4, 0, 19, 25, 16, 50, 43, 32, 48, 2, 39, 25, 33, 41, 20, 34, 35, 7, 34, 44, 36, 6, 13, 49, 17, 13, 24, 27, 42, 25, 0, 36, 3, 19, 28]
[0, 7, 2, 8, 21, 42, 31, 17, 30, 12, 23, 4, 19, 0, 10, 37, 2, 36, 26, 45, 8, 42, 43, 14, 27, 50, 17, 20, 41, 10, 41, 23, 17, 8, 27, 1, 19, 18, 31, 14, 3, 39, 20, 14, 29, 19]
[21, 46, 49, 12, 1, 15, 3, 31, 36, 35, 48, 10, 25, 10, 0, 3, 35, 6, 34, 16, 19, 35, 21, 4, 27, 25, 13, 28, 42, 20, 43, 19, 43, 5, 8, 2, 6, 23, 46, 44, 22, 4, 2, 24, 34, 32]
[15, 45, 42, 14, 47, 21, 7, 11, 39, 9, 41, 34, 16, 37, 3, 0, 22, 22, 34, 40, 8, 18, 19, 15, 38, 6, 28, 6, 16, 44, 3, 48, 10, 44, 43, 22, 32, 24, 25, 36, 38, 13, 29, 28, 8, 48]
[42, 16, 50, 3, 29, 48, 6, 16, 11, 43, 37, 3, 50, 2, 35, 22, 0, 35, 27, 26, 34, 23, 46, 35, 20, 25, 0, 26, 15, 42, 39, 40, 6, 4, 40, 30, 17, 12, 2, 29, 24, 28, 7, 31, 45, 48]
[35, 50, 28, 48, 16, 34, 42, 45, 38, 12, 36, 41, 43, 36, 6, 22, 35, 0, 41, 36, 19, 33, 27, 14, 22, 40, 11, 29, 9, 34, 36, 36, 0, 37, 49, 46, 17, 44, 23, 22, 4, 34, 20, 26, 28, 32]
[8, 49, 4, 32, 35, 22, 31, 46, 9, 31, 13, 37, 32, 26, 34, 34, 27, 41, 0, 41, 14, 45, 37, 28, 0, 28, 0, 18, 19, 11, 30, 17, 16, 44, 38, 14, 29, 36, 4, 33, 8, 44, 27, 45, 1, 1]
[41, 15, 31, 49, 34, 37, 36, 26, 29, 13, 11, 14, 48, 45, 16, 40, 26, 36, 41, 0, 18, 2, 26, 12, 15, 47, 12, 38, 27, 44, 40, 17, 18, 16, 5, 15, 0, 37, 23, 25, 45, 17, 37, 38, 2, 48]
[48, 9, 46, 50, 1, 13, 48, 48, 44, 17, 27, 25, 2, 8, 19, 8, 34, 19, 14, 18, 0, 30, 10, 22, 35, 26, 33, 45, 21, 4, 22, 29, 18, 46, 42, 47, 28, 30, 49, 39, 46, 12, 34, 47, 46, 48]
[13, 5, 33, 1, 26, 37, 6, 41, 8, 3, 18, 1, 39, 42, 35, 18, 23, 33, 45, 2, 30, 0, 13, 31, 22, 23, 0, 35, 12, 48, 14, 14, 47, 10, 36, 18, 8, 28, 1, 47, 16, 18, 11, 31, 0, 20]
[0, 34, 50, 10, 37, 28, 11, 26, 23, 4, 23, 48, 25, 43, 21, 19, 46, 27, 37, 26, 10, 13, 0, 6, 4, 6, 20, 47, 19, 16, 42, 50, 18, 17, 41, 38, 15, 14, 20, 48, 7, 15, 6, 21, 28, 15]
[13, 16, 7, 31, 35, 34, 50, 14, 19, 9, 0, 23, 33, 14, 4, 15, 35, 14, 28, 12, 22, 31, 6, 0, 32, 19, 36, 24, 32, 19, 17, 23, 32, 44, 46, 47, 25, 4, 12, 25, 9, 31, 35, 28, 10, 3]
[22, 10, 28, 28, 31, 27, 42, 15, 20, 16, 15, 21, 41, 27, 27, 38, 20, 22, 0, 15, 35, 22, 4, 32, 0, 26, 0, 38, 37, 34, 25, 38, 12, 41, 34, 30, 33, 14, 1, 9, 35, 42, 25, 43, 28, 14]
[49, 3, 1, 25, 29, 15, 7, 19, 26, 2, 46, 10, 20, 50, 25, 6, 25, 40, 28, 47, 26, 23, 6, 19, 26, 0, 3, 23, 38, 44, 23, 11, 41, 23, 29, 22, 36, 45, 38, 14, 27, 27, 18, 49, 32, 35]
[42, 5, 23, 29, 45, 46, 3, 39, 43, 37, 46, 44, 34, 17, 13, 28, 0, 11, 0, 12, 33, 0, 20, 36, 0, 3, 0, 21, 6, 29, 22, 13, 42, 19, 3, 23, 16, 1, 1, 8, 48, 2, 39, 9, 15, 33]
[41, 21, 20, 17, 5, 33, 39, 34, 40, 8, 14, 19, 35, 20, 28, 6, 26, 29, 18, 38, 45, 35, 47, 24, 38, 23, 21, 0, 25, 23, 19, 7, 10, 29, 17, 36, 8, 8, 27, 36, 47, 12, 11, 46, 47, 29]
[26, 5, 12, 34, 5, 19, 32, 48, 39, 38, 1, 25, 7, 41, 42, 16, 15, 9, 19, 27, 21, 12, 19, 32, 37, 38, 6, 25, 0, 11, 19, 32, 41, 10, 48, 0, 27, 36, 10, 45, 0, 25, 43, 44, 45, 3]
[34, 36, 25, 10, 42, 13, 23, 43, 5, 15, 44, 36, 34, 10, 20, 44, 42, 34, 11, 44, 4, 48, 16, 19, 34, 44, 29, 23, 11, 0, 31, 13, 5, 28, 43, 27, 6, 27, 32, 26, 3, 24, 10, 39, 25, 18]
[10, 47, 6, 47, 21, 14, 5, 0, 17, 40, 39, 15, 44, 41, 43, 3, 39, 36, 30, 40, 22, 14, 42, 17, 25, 23, 22, 19, 19, 31, 0, 42, 22, 44, 20, 44, 17, 26, 32, 12, 30, 7, 43, 4, 38, 48]
[21, 46, 26, 39, 39, 16, 32, 21, 7, 2, 15, 18, 36, 23, 19, 48, 40, 36, 17, 17, 29, 14, 50, 23, 38, 11, 13, 7, 32, 13, 42, 0, 35, 17, 47, 47, 41, 27, 8, 16, 43, 10, 22, 13, 3, 43]
[6, 45, 36, 17, 5, 20, 36, 34, 29, 2, 21, 17, 6, 17, 43, 10, 6, 0, 16, 18, 18, 47, 18, 32, 12, 41, 42, 10, 41, 5, 22, 35, 0, 40, 16, 5, 27, 41, 40, 37, 22, 31, 0, 30, 49, 21]
[36, 47, 0, 3, 5, 23, 28, 34, 46, 27, 29, 25, 13, 8, 5, 44, 4, 37, 44, 16, 46, 10, 17, 44, 41, 23, 19, 29, 10, 28, 44, 17, 40, 0, 50, 5, 1, 24, 24, 10, 35, 24, 25, 35, 2, 42]
[29, 28, 45, 8, 19, 7, 34, 33, 37, 7, 38, 34, 49, 27, 8, 43, 40, 49, 38, 5, 42, 36, 41, 46, 34, 29, 3, 17, 48, 43, 20, 47, 16, 50, 0, 44, 41, 48, 9, 32, 4, 24, 4, 40, 34, 21]
[37, 3, 35, 30, 26, 0, 29, 2, 4, 29, 35, 0, 17, 1, 2, 22, 30, 46, 14, 15, 47, 18, 38, 47, 30, 22, 23, 36, 0, 27, 44, 47, 5, 5, 44, 0, 28, 34, 22, 38, 14, 23, 15, 45, 17, 34]
[8, 49, 4, 19, 41, 27, 33, 22, 25, 29, 32, 0, 13, 19, 6, 32, 17, 17, 29, 0, 28, 8, 15, 25, 33, 36, 16, 8, 27, 6, 17, 41, 27, 1, 41, 28, 0, 23, 5, 40, 0, 3, 35, 9, 45, 40]
[2, 19, 24, 45, 17, 2, 19, 0, 2, 22, 18, 35, 24, 18, 23, 24, 12, 44, 36, 37, 30, 28, 14, 4, 14, 45, 1, 8, 36, 27, 26, 27, 41, 24, 48, 34, 23, 0, 44, 16, 9, 50, 36, 44, 4, 30]
[25, 29, 43, 43, 40, 0, 34, 4, 50, 33, 4, 4, 27, 31, 46, 25, 2, 23, 4, 23, 49, 1, 20, 12, 1, 38, 1, 27, 10, 32, 32, 8, 40, 24, 9, 22, 5, 44, 0, 16, 2, 13, 29, 39, 3, 45]
[22, 44, 21, 25, 13, 12, 40, 39, 32, 18, 19, 26, 42, 14, 44, 36, 29, 22, 33, 25, 39, 47, 48, 25, 9, 14, 8, 36, 45, 26, 12, 16, 37, 10, 32, 38, 40, 16, 16, 0, 48, 43, 0, 41, 32, 6]
[5, 50, 19, 20, 7, 38, 11, 40, 20, 48, 33, 30, 25, 3, 22, 38, 24, 4, 8, 45, 46, 16, 7, 9, 35, 27, 48, 47, 0, 3, 30, 43, 22, 35, 4, 14, 0, 9, 2, 48, 0, 48, 11, 9, 0, 34]
[7, 42, 42, 28, 15, 8, 4, 24, 34, 32, 44, 50, 0, 39, 4, 13, 28, 34, 44, 17, 12, 18, 15, 31, 42, 27, 2, 12, 25, 24, 7, 10, 31, 24, 24, 23, 3, 50, 13, 43, 48, 0, 43, 14, 41, 39]
[26, 46, 46, 5, 11, 6, 30, 4, 16, 20, 0, 7, 36, 20, 2, 29, 7, 20, 27, 37, 34, 11, 6, 35, 25, 18, 39, 11, 43, 10, 43, 22, 0, 25, 4, 15, 35, 36, 29, 0, 11, 43, 0, 40, 47, 7]
[9, 6, 10, 6, 47, 12, 25, 43, 10, 22, 3, 39, 3, 14, 24, 28, 31, 26, 45, 38, 47, 31, 21, 28, 43, 49, 9, 46, 44, 39, 4, 13, 30, 35, 40, 45, 9, 44, 39, 41, 9, 14, 40, 0, 50, 48]
[33, 1, 23, 30, 41, 1, 0, 48, 39, 17, 31, 7, 19, 29, 34, 8, 45, 28, 1, 2, 46, 0, 28, 10, 28, 32, 15, 47, 45, 25, 38, 3, 49, 2, 34, 17, 45, 4, 3, 32, 0, 41, 47, 50, 0, 15]
[14, 16, 30, 43, 16, 50, 34, 9, 6, 26, 5, 16, 28, 19, 32, 48, 48, 32, 1, 48, 48, 20, 15, 3, 14, 35, 33, 29, 3, 18, 48, 43, 21, 42, 21, 34, 40, 30, 45, 6, 34, 39, 7, 48, 15, 0]
